index,content
1,AA制
2,ABC
3,ABS
4,AB制
5,AB角
6,ADSL
7,AI
8,AIDS
9,AM
10,APC
11,APEC
12,API
13,AQ
14,ATM机
15,AV
16,A股
17,B2B
18,B2C
19,BBC
20,BBS
21,BD
22,BEC
23,BP机
24,BRT
25,B淋巴细胞
26,B细胞
27,B股
28,B超
29,C2C
30,C4ISR
31,CAD
32,CAI
33,CATV
34,CBA
35,CBD
36,CCC
37,CCD
38,CCTV
39,CD
40,CDC
41,CDMA
42,CD-R
43,CD-ROM
44,CD-RW
45,CEO
46,CEPA
47,CET
48,CFO
49,CI
50,CIA
51,CIMS
52,CIP
53,CMOS
54,CNN
55,CPA
56,CPI
57,CPU
58,CRT
59,CT
60,DC
61,DIY
62,DJ
63,DNA
64,DNA芯片
65,DOS
66,DSL
67,DV
68,DVD
69,EBD
70,ECFA
71,ED
72,EDI
73,E-mail
74,EMBA
75,EMS
76,EQ
77,ETC
78,EV
79,e化
80,F1
81,FAX
82,FBI
83,FM
84,FTA
85,GB
86,GDP
87,GIS
88,GMAT
89,GMP
90,GNP
91,GPS
92,GRE
93,GSM
94,HDMI
95,HDTV
96,hi-fi
97,HIV
98,HR
99,HSK
100,H股
101,ICP
102,ICU
103,IC卡
104,IDC
105,IMAX
106,IMF
107,IOC
108,IPO
109,IPTV
110,IP卡
111,IP地址
112,IP电话
113,IQ
114,ISBN
115,ISO
116,ISP
117,ISSN
118,IT
119,ITS
120,KTV
121,K歌
122,K粉
123,K线
124,K金
125,LCD
126,LD
127,LED
128,LPG
129,M0
130,M1
131,M2
132,MBA
133,MP3
134,MP4
135,MPA
136,MPEG
137,MRI
138,MTV
139,MV
140,NBA
141,NCAP
142,NG
143,NGO
144,NHK
145,NMD
146,O2O
147,OA
148,OCR
149,OEM
150,OL
151,OLED
152,OPEC
153,OTC
154,PC
155,PC机
156,PDA
157,PDP
158,PE
159,PET
160,PETS
161,pH值
162,PK
163,PM10
164,PM2.5
165,PMI
166,POS机
167,PPA
168,PPI
169,PS
170,PSC
171,PT
172,PVC
173,QC
174,QDII
175,QFII
176,QQ
177,QS
178,Q版
179,RAM
180,RFID
181,RMB
182,RNA
183,ROM
184,RS
185,SARS
186,SCI
187,SDR
188,SIM卡
189,SNG
190,SNS
191,SOHO
192,SOS
193,SOS儿童村
194,SSD
195,ST
196,STD
197,SUV
198,Tel
199,TMD
200,TNT
201,TV
202,T型台
203,T恤衫
204,T淋巴细胞
205,T细胞
206,UFO
207,UHD
208,USB
209,UV
210,U盘
211,VCD
212,VCR
213,VIP
214,VOD
215,VR
216,vs
217,WAP
218,WC
219,WHO
220,Wi-Fi
221,WSK
222,WTO
223,WWW
224,X光
225,X刀
226,X射线
227,X染色体
228,X线
229,Y染色体
230,α射线
231,α粒子
232,β射线
233,β粒子
234,γ刀
235,γ射线
236,“三个代表”重要思想
237,“左”倾机会主义
238,〇
239,㑇
240,㑊
241,㑌
242,㑌儴
243,㑩
248,㓦
249,㓦划
250,㔉
254,㕜
256,㕮
257,㕮咀
259,㖊
260,㖊
261,㖞
262,㖞斜
264,㗏
265,㗑
266,㘄
268,㘎
269,㘗
271,㘥
272,㘥子
275,㘵
276,㙍
277,㙘
280,㙦
282,㚢
283,㚻
284,㚻奸
285,㛃
286,㛚
287,㛹
288,㛹娟
293,㝿
294,㞎
295,㞎㞎
296,㞗
297,㞘
298,㞘子
301,㟂
302,㟃
303,㟖
304,㟤
307,㠇
308,㠓
312,㠾
315,㡡
317,㤅
318,㤘
320,㤞
321,㤞憏
322,㤥
323,㥄
324,㥏
329,㧀
330,㧏
331,㧐
332,㧑
333,㧟
334,㧟
335,㧥
336,㧯
338,㨄
347,㩟
351,㪗
354,㪺
355,㫰
357,㬊
358,㬎
359,㬚
360,㬤
362,㭎
363,㭕
365,㮾
368,㰀
369,㰀檬
372,㱮
373,㱮脓
375,㲲
378,㳇
380,㳘
381,㳚
382,㳠
383,㴔
384,㴩
386,㵐
387,㵲
388,㶁
389,㶉
390,㶉𫛶
391,㶟
392,㶲
394,㸆
395,㸌
396,㹎
397,㹢
398,㹭
399,㺀
400,㺀𤝽
401,㺄
402,㺢
403,㺢㹢狓
404,㻋
406,㻬
407,㻬琈
410,㼎
413,㽏
414,㽘
416,㾓
417,㾦
418,㾦
419,㾦㿔
421,㿔
423,㿠
424,䀇
425,䀇子
427,䀦
428,䁖
431,䂮
432,䃅
434,䃎
438,䃰
440,䄻
441,䄻黍
442,䅟
443,䅟子
444,䇭
445,䇲
446,䇽
447,䇽子
448,䈅
460,䌹
461,䍉
462,䍡
463,䍡𦌊
464,䎃
465,䎖
466,䎬
468,䏚
469,䏝
470,䏡
471,䏲
472,䏿
473,䐃
474,䐛
475,䐜
477,䑽
479,䒷
480,䒷蒌
481,䒿
482,䓖
483,䓛
484,䓞
485,䓞草
487,䓨
488,䓫
489,䓬
490,䓮
491,䓮䕅
493,䕅
495,䕷
497,䖮
498,䖮虫
499,䖳
500,䗖
501,䗖𬟽
502,䗛
503,䗩
504,䗪
505,䗪虫
507,䗴
512,䘕
513,䘕衏
516,䙌
520,䜣
521,䜺
522,䝋
524,䝙
527,䞍
528,䞍受
529,䞍等
531,䟡
537,䢺
538,䢼
539,䣘
548,䥽
549,䦃
550,䦆
551,䦆头
554,䦶
555,䦶䦷
556,䦷
559,䩄
560,䩄
561,䩄觍
563,䩬
564,䩺
565,䩺靴
573,䯄
575,䯼
576,䯼髻
577,䰀
578,䰀鬌
592,䲟
593,䲠
594,䲢
599,䴓
600,䴔
601,䴔䴖
602,䴕
603,䴖
604,䴗
605,䴘
606,䴙
607,䴙䴘
609,䴥
611,䵚
612,䵚黍
617,䶮
618,一
619,一
620,一…一…
621,一…不…
622,一…二…
623,一…再…
624,一…半…
